,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__learning_rate,param_optimizer,param_model__n_hidden_layers,param_model__layer_size,param_model__dropout_rate,param_fit__batch_size,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_ce,split1_test_ce,split2_test_ce,split3_test_ce,mean_test_ce,std_test_ce,rank_test_ce
40,79.01204597949982,3.8320500407352696,0.8232564926147461,0.031231864303998897,0.1,adam,4,1600,0,64,0.8607210626185958,0.8606261859582542,0.8607210626185958,0.8607210626185958,0.8606973434535105,4.108279904101823e-05,9,0.0,0.0,0.0,0.0,0.0,0.0,8,2.244911320949418,2.2464405520264092,2.244911320949418,2.244911320949418,2.245293628718666,0.0006621764804656088,2
29,364.54438680410385,76.07786136053875,5.675058841705322,7.895530164083811,0.01,adam,6,1600,0.1,16,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,5,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,1
35,56.97705161571503,2.8002183561461607,0.7619494795799255,0.03547071927471341,0.0001,sgd,3,800,0,32,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,5,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,1
21,50.0759494304657,0.39254229033821875,0.8630340099334717,0.013735131762452352,0.0001,sgd,4,1600,0.2,64,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,5,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,1
42,142.67769706249237,0.8480602481212517,0.8333165645599365,0.007158009221607699,0.0001,sgd,6,1600,0.1,16,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,8,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,3
50,87.48353272676468,14.893816495836028,0.7602337598800659,0.012972422613572012,0.1,adam,3,400,0.2,32,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,6,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,3
13,38.35305368900299,0.14231037982030306,0.7400797605514526,0.003927881259484491,0.0001,sgd,3,1600,0,64,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,10,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,2
51,82.0578675866127,0.4373412354292748,0.8114322423934937,0.016908933058064436,0.0001,sgd,6,1600,0.3,32,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,6,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,3
55,144.56382191181183,33.77984769208455,0.7539705038070679,0.005590680053611737,0.01,adam,3,800,0.2,16,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,6,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,3
59,172.67460352182388,0.3921021119863368,0.8026542663574219,0.01847238553890651,1e-05,sgd,4,3200,0.3,16,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.8607210626185958,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,6,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,2.244911320949418,0.0,3
