,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_optimizer__learning_rate,param_optimizer,param_model__n_hidden_layers,param_model__layer_size,param_model__dropout_rate,param_fit__batch_size,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_ce,split1_test_ce,split2_test_ce,split3_test_ce,mean_test_ce,std_test_ce,rank_test_ce
7,36.01187491416931,0.4156687807453276,0.8044083118438721,0.01761635038024294,0.0001,sgd,6,1600,0.1,128,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'sgd', 'model__n_hidden_layers': 6, 'model__layer_size': 1600, 'model__dropout_rate': 0.1, 'fit__batch_size': 128}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,9,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
11,67.86793380975723,0.10736449455544557,0.793470561504364,0.012738362826796783,0.01,adam,5,200,0.5,32,"{'optimizer__learning_rate': 0.01, 'optimizer': 'adam', 'model__n_hidden_layers': 5, 'model__layer_size': 200, 'model__dropout_rate': 0.5, 'fit__batch_size': 32}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,9,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
12,116.04418540000916,43.56077727814309,0.8193584680557251,0.048306333293341205,0.01,adam,5,400,0.5,32,"{'optimizer__learning_rate': 0.01, 'optimizer': 'adam', 'model__n_hidden_layers': 5, 'model__layer_size': 400, 'model__dropout_rate': 0.5, 'fit__batch_size': 32}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,9,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
33,117.81942576169968,0.42444502286509,0.7818098068237305,0.013750572322723328,0.0001,sgd,6,400,0.2,16,"{'optimizer__learning_rate': 0.0001, 'optimizer': 'sgd', 'model__n_hidden_layers': 6, 'model__layer_size': 400, 'model__dropout_rate': 0.2, 'fit__batch_size': 16}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,2,0.0,0.0,0.0,0.0,0.0,0.0,3,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
14,27.2519451379776,0.19306064079249785,0.8046059608459473,0.021134313294188432,0.001,sgd,7,800,0,128,"{'optimizer__learning_rate': 0.001, 'optimizer': 'sgd', 'model__n_hidden_layers': 7, 'model__layer_size': 800, 'model__dropout_rate': 0, 'fit__batch_size': 128}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,9,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
30,127.05067330598831,53.349040565715505,0.8726106882095337,0.03963384578979731,0.1,adam,5,3200,0.2,64,"{'optimizer__learning_rate': 0.1, 'optimizer': 'adam', 'model__n_hidden_layers': 5, 'model__layer_size': 3200, 'model__dropout_rate': 0.2, 'fit__batch_size': 64}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,2,0.0,0.0,0.0,0.0,0.0,0.0,3,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
16,33.58164244890213,6.397162309517856,0.7496347427368164,0.003983092263875138,0.1,adam,5,400,0.5,128,"{'optimizer__learning_rate': 0.1, 'optimizer': 'adam', 'model__n_hidden_layers': 5, 'model__layer_size': 400, 'model__dropout_rate': 0.5, 'fit__batch_size': 128}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,10,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
17,88.51581531763077,1.4428048289867719,0.9681146740913391,0.003870839293275699,1e-05,sgd,6,3200,0.5,128,"{'optimizer__learning_rate': 1e-05, 'optimizer': 'sgd', 'model__n_hidden_layers': 6, 'model__layer_size': 3200, 'model__dropout_rate': 0.5, 'fit__batch_size': 128}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,10,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
19,87.74950104951859,29.561945252777605,0.781553328037262,0.006969016719659627,0.1,adam,3,3200,0.5,128,"{'optimizer__learning_rate': 0.1, 'optimizer': 'adam', 'model__n_hidden_layers': 3, 'model__layer_size': 3200, 'model__dropout_rate': 0.5, 'fit__batch_size': 128}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,10,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
24,422.2966469526291,197.90177177325606,0.9549034833908081,0.013469298208955038,0.1,adam,6,3200,0.2,32,"{'optimizer__learning_rate': 0.1, 'optimizer': 'adam', 'model__n_hidden_layers': 6, 'model__layer_size': 3200, 'model__dropout_rate': 0.2, 'fit__batch_size': 32}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,10,0.0,0.0,0.0,0.0,0.0,0.0,11,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,3
40,45.722222685813904,13.176804885266183,0.9089298248291016,0.17078048455516012,0.1,adam,7,800,0.1,128,"{'optimizer__learning_rate': 0.1, 'optimizer': 'adam', 'model__n_hidden_layers': 7, 'model__layer_size': 800, 'model__dropout_rate': 0.1, 'fit__batch_size': 128}",0.8363903154805576,0.8363903154805576,0.8362855046640814,0.8363731656184487,0.8363598253109114,4.347649721555853e-05,7,0.0,0.0,0.0,0.0,0.0,0.0,9,2.6370766281465237,2.6370766281465237,2.6387659789012616,2.6373530512626817,2.6375680716142478,0.0007007583363410492,4
27,267.72285401821136,153.08480098160223,0.7836250066757202,0.006682106917097462,0.01,sgd,7,1600,0.5,16,"{'optimizer__learning_rate': 0.01, 'optimizer': 'sgd', 'model__n_hidden_layers': 7, 'model__layer_size': 1600, 'model__dropout_rate': 0.5, 'fit__batch_size': 16}",0.8363903154805576,0.853055235300283,0.8642699926632429,0.8814465408805031,0.8587905210811466,0.016416322334072482,9,0.0,0.934657270980141,0.17989756722151087,0.5554131966688021,0.4174920087176135,0.35959451419266975,9,2.6370766281465237,2.3684698582148487,2.1877093273869033,1.9108560820087972,2.2760279739392684,0.2645998519737923,7
15,43.24460828304291,7.204556360057336,0.7628563046455383,0.03395146758618285,0.01,adam,5,200,0.2,128,"{'optimizer__learning_rate': 0.01, 'optimizer': 'adam', 'model__n_hidden_layers': 5, 'model__layer_size': 200, 'model__dropout_rate': 0.2, 'fit__batch_size': 128}",0.9004297243475526,0.8712923173671523,0.886909129022115,0.8860587002096436,0.8861724677366158,0.010310720803945933,8,0.4945547725816784,0.2504804612427931,0.7503201024327785,0.4228058936579116,0.4795403074787904,0.17974588895640084,8,1.604883317010292,2.0745228268218625,1.822809564400664,1.8365168572316186,1.8346831413661093,0.16618918311468775,8
9,103.0427176952362,4.2895636228685134,0.8356785178184509,0.04190541513937834,1e-05,adam,7,200,0.5,128,"{'optimizer__learning_rate': 1e-05, 'optimizer': 'adam', 'model__n_hidden_layers': 7, 'model__layer_size': 200, 'model__dropout_rate': 0.5, 'fit__batch_size': 128}",0.900953778429934,0.9095482653809873,0.9011634000628865,0.8368972746331237,0.8871406796267329,0.029214457173048825,8,0.7841127482383088,0.649583600256246,0.8028169014084507,0.8725176169122357,0.7772577167038103,0.08073938316969341,9,1.5964365632612603,1.457909801356609,1.5930578617532731,2.628905412159902,1.819077409632761,0.4708814122052603,8
43,325.6721732020378,43.401146959892266,0.76909339427948,0.008971033993640293,0.1,sgd,5,200,0.5,16,"{'optimizer__learning_rate': 0.1, 'optimizer': 'sgd', 'model__n_hidden_layers': 5, 'model__layer_size': 200, 'model__dropout_rate': 0.5, 'fit__batch_size': 16}",0.8945603186248821,0.931558536841002,0.8630122628655277,0.9332285115303983,0.9055899074654525,0.02903777624049849,6,0.6393337604099936,0.7181294042280589,0.6811779769526248,0.7809096732863549,0.7048877037192581,0.05199556018538514,7,1.699486959291195,1.1031461428558793,2.2079815364876207,1.0762293312490328,1.5217109924709318,0.46803365204388236,5
8,95.18491059541702,10.989725500338105,0.7997174859046936,0.015804738756133297,0.01,sgd,6,200,0,32,"{'optimizer__learning_rate': 0.01, 'optimizer': 'sgd', 'model__n_hidden_layers': 6, 'model__layer_size': 200, 'model__dropout_rate': 0, 'fit__batch_size': 32}",0.9366942668483388,0.9505292946232051,0.9441358348181532,0.969392033542977,0.9501878574581685,0.012120446815350296,7,0.848814862267777,0.8565022421524664,0.9084507042253521,0.8853299167200512,0.8747744313414116,0.023734372496327524,4,1.0203679558822525,0.797373656250174,0.9004240522970455,0.4933422279810644,0.8028769731026341,0.19535851989589467,9
42,65.54844439029694,7.48994299794672,0.7562886476516724,0.007328715910582705,0.01,sgd,4,200,0,64,"{'optimizer__learning_rate': 0.01, 'optimizer': 'sgd', 'model__n_hidden_layers': 4, 'model__layer_size': 200, 'model__dropout_rate': 0, 'fit__batch_size': 64}",0.9676134577088356,0.9614296195367362,0.9505292946232051,0.9246331236897275,0.9510513738896261,0.01643325221563849,5,0.8802049967969251,0.8693145419602819,0.8924455825864277,0.9160794362588085,0.8895111394006108,0.017385282519152074,1,0.5220094832208765,0.6216811777527544,0.7973736562532633,1.214770613778677,0.7889587327513927,0.26487272943470636,6
18,93.47135734558105,11.751442765559126,0.777550220489502,0.00565344329974912,0.01,sgd,7,1600,0.2,64,"{'optimizer__learning_rate': 0.01, 'optimizer': 'sgd', 'model__n_hidden_layers': 7, 'model__layer_size': 1600, 'model__dropout_rate': 0.2, 'fit__batch_size': 64}",0.9454983754323446,0.9611151870873074,0.9404674562414841,0.9658280922431866,0.9532272777510806,0.010530296951775923,7,0.9013452914798207,0.8629083920563742,0.9263764404609475,0.9090326713645099,0.8999156988404131,0.023210313039877552,1,0.8784624924841231,0.6267492300165833,0.9595513287163622,0.5507861743930094,0.7538873064025194,0.16972833245530602,9
21,84.68076187372208,12.902090302273246,0.7747206091880798,0.004080859808345489,0.1,sgd,3,3200,0,64,"{'optimizer__learning_rate': 0.1, 'optimizer': 'sgd', 'model__n_hidden_layers': 3, 'model__layer_size': 3200, 'model__dropout_rate': 0, 'fit__batch_size': 64}",0.9548265380987317,0.9288334556126192,0.9609055654543549,0.9696016771488469,0.9535418090786383,0.015201130961627672,6,0.8475336322869955,0.8571428571428571,0.8706786171574904,0.8853299167200512,0.8651712558268485,0.014249943748977414,6,0.7281102753028684,1.1470692624924814,0.6301279315268323,0.48996317230989356,0.7488176604080189,0.24501328132938333,10
2,86.82934957742691,8.225612365120677,0.7467030882835388,0.006877333454971259,0.01,sgd,3,1600,0.2,32,"{'optimizer__learning_rate': 0.01, 'optimizer': 'sgd', 'model__n_hidden_layers': 3, 'model__layer_size': 1600, 'model__dropout_rate': 0.2, 'fit__batch_size': 32}",0.948852321559585,0.9530447542186353,0.9615344303532124,0.9687631027253669,0.9580486522141999,0.0076902794430646305,6,0.8840486867392697,0.866111467008328,0.8930857874519846,0.9019859064702114,0.8863079619174485,0.013273465969001683,3,0.8244032683292419,0.7568292381359577,0.6199918270000022,0.5034793949960112,0.6761759321153034,0.12395265888005746,10
13,81.76016932725906,20.38787225624859,0.8143810629844666,0.03382017412134634,0.001,adam,7,800,0.2,64,"{'optimizer__learning_rate': 0.001, 'optimizer': 'adam', 'model__n_hidden_layers': 7, 'model__layer_size': 800, 'model__dropout_rate': 0.2, 'fit__batch_size': 64}",0.9557698354470181,0.9533591866680642,0.9632114034168326,0.9645702306079664,0.9592276640349704,0.0047646826284403615,5,0.8046124279308136,0.769378603459321,0.852752880921895,0.8629083920563742,0.8224130760921009,0.03771568882625422,8,0.7129061185060309,0.7517611858632469,0.5929622149198308,0.5710605084160615,0.6571725069262925,0.07679760987449495,11
34,94.38224464654922,6.062252950123,0.7962983846664429,0.020492924268912034,1e-05,adam,7,400,0.1,32,"{'optimizer__learning_rate': 1e-05, 'optimizer': 'adam', 'model__n_hidden_layers': 7, 'model__layer_size': 400, 'model__dropout_rate': 0.1, 'fit__batch_size': 32}",0.9576564301435908,0.9583901058589246,0.9616392411696887,0.9620545073375262,0.9599350711274326,0.001934898433750364,1,0.8712363869314542,0.8360025624599615,0.8649167733674776,0.8449711723254324,0.8542817237710814,0.014329855104462235,1,0.6824978049254856,0.670672349638897,0.6183024762427812,0.611609176468566,0.6457704518189324,0.031186877837742055,5
