;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_fit__batch_size;param_model__layer_size;param_model__n_hidden_layers;param_optimizer__learning_rate;mean_test_accuracy;mean_train_accuracy;mean_test_ce;mean_train_ce;mean_test_recall;mean_train_recall
99;50.1896252;10.02997897;0.636971533;0.004895444;64;400;3;0.002;0.960773703;0.977421367;0.632253299;0.363924669;0.848036548;0.9046701
113;42.71369058;14.47277758;0.697250783;0.021546649;128;400;7;0.002;0.9606687;0.977360285;0.633945749;0.364909184;0.840348963;0.898745016
95;53.92844957;14.62532085;9.445850909;15.12885721;128;1600;7;0.001;0.960537629;0.973648166;0.636058367;0.424741483;0.821129078;0.871578942
118;63.37769103;14.42161744;0.651009023;0.011246794;128;1600;5;0.002;0.960249512;0.978932477;0.640702267;0.339568445;0.867574587;0.916038383
115;39.89026171;8.373143847;0.645509243;0.01513405;128;800;5;0.002;0.960223433;0.976451825;0.641122612;0.379551837;0.83954399;0.893035395
61;32.66655016;4.199685387;0.739116788;0.090096062;128;200;5;0.0005;0.960223372;0.978390893;0.641123586;0.348297746;0.866931307;0.924845951
108;33.75955266;10.34731985;0.609208107;0.008442123;128;200;3;0.002;0.959908899;0.978155126;0.646192303;0.352097866;0.849801725;0.908672553
96;47.48441106;10.03837776;0.648726642;0.041130527;64;200;3;0.002;0.959489562;0.976521801;0.652951211;0.37842396;0.830419943;0.891860171
28;29.93891978;1.772338331;0.707593679;0.018430726;128;200;7;0.0001;0.956685713;0.973866526;0.698143911;0.421221933;0.842271321;0.903709235
104;87.38729924;6.720933366;0.717243791;0.102215978;64;800;7;0.002;0.955951856;0.973351248;0.709972288;0.429527234;0.88742791;0.932425991
106;71.85460383;11.51741804;0.636839986;0.002066334;64;1600;5;0.002;0.95521834;0.971010362;0.721795176;0.467257863;0.840031424;0.884066409
103;75.84766126;14.88845942;0.648911178;0.015170994;64;800;5;0.002;0.955140017;0.973656836;0.723057585;0.424601736;0.8720592;0.914543866
83;89.8304472;27.11866654;0.731032014;0.005758401;64;1600;7;0.001;0.952283914;0.967053507;0.769092526;0.531034818;0.818732513;0.86228958
116;52.26651776;17.58662569;0.747700095;0.125174318;128;800;7;0.002;0.951287962;0.966354884;0.785145386;0.542295287;0.846104347;0.892396251
107;113.753926;13.37913063;0.691756129;0.003876471;64;1600;7;0.002;0.950029897;0.965140866;0.805422996;0.561862946;0.848366493;0.887479558
119;76.58850694;13.11532925;0.696593046;0.01342135;128;1600;7;0.002;0.948562905;0.966608122;0.829068108;0.538213585;0.833144505;0.883533225
