,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_fit__batch_size,param_model__dropout_rate,param_model__layer_size,param_model__n_hidden_layers,param_optimizer__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_ce,split1_test_ce,split2_test_ce,split3_test_ce,mean_test_ce,std_test_ce,rank_test_ce,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall
1,164.8225730061531,13.493135518732725,0.8151911497116089,0.017100395607339978,16,0.2,1600,3,0.01,"{'fit__batch_size': 16, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.01}",0.9698292220113852,0.9586337760910816,0.9715370018975332,0.9681214421252372,0.9670303605313093,0.0049959116108798385,12,0.4862955824751886,0.6667448495590726,0.45876942308650487,0.5138217418596774,0.5314078992451109,0.08052458071120765,5,0.8916893732970027,0.8773841961852861,0.8528610354223434,0.8732970027247956,0.8738079019073569,0.013888566640737223,12
15,141.26090717315674,11.198167606495407,0.8164277672767639,0.008712468537043725,32,0.3,3200,3,0.01,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 3200, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.01}",0.967931688804554,0.9632827324478178,0.9680265654648956,0.9685009487666034,0.9669354838709678,0.0021199148929321055,13,0.5168802040151076,0.5918125267877145,0.5153509729357695,0.5077048175527124,0.532937130322826,0.03416899080570153,4,0.8930517711171662,0.8937329700272479,0.8610354223433242,0.8869209809264306,0.8836852861035422,0.01334328523157285,7
42,392.70272874832153,16.144793413300192,0.9453451633453369,0.016327854704789705,32,0.2,3200,6,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 3200, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.001}",0.9627134724857686,0.9627134724857686,0.9700189753320683,0.9712523719165085,0.9666745730550285,0.00398503150697768,5,0.600987913250609,0.6009879132503593,0.483237120320907,0.4633571163207238,0.5371425157856498,0.06423111860557615,12,0.9066757493188011,0.9032697547683923,0.8876021798365122,0.8971389645776566,0.8986716621253406,0.007247248920624406,2
9,109.70558798313141,4.20381998724814,0.8156478404998779,0.006956302979017723,32,0.2,1600,3,0.01,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.01}",0.9709677419354839,0.9666034155597722,0.9721062618595825,0.9558823529411765,0.9663899430740038,0.006404833404863028,14,0.4679448095503483,0.5382894390918324,0.4495940366248088,0.7110925507935084,0.5417302090151245,0.10323371681194779,3,0.8787465940054496,0.8773841961852861,0.8562670299727521,0.9005449591280654,0.8782356948228883,0.01566294653825105,10
21,211.07365310192108,31.6427345308106,0.797854483127594,0.008031234869297407,16,0.3,1600,5,0.01,"{'fit__batch_size': 16, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.01}",0.9715370018975332,0.9603415559772296,0.9652751423149906,0.9681214421252372,0.9663187855787477,0.0041017013892253006,11,0.45876942308860225,0.6392186901722866,0.5596986741688568,0.5138217418600769,0.5428771323224556,0.06611161491468476,6,0.8814713896457765,0.864441416893733,0.8658038147138964,0.8787465940054496,0.8726158038147139,0.007570201216244161,13
40,277.0440509915352,15.2065302552368,0.7961517572402954,0.006101731631255318,32,0.2,1600,6,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.001}",0.9729601518026565,0.9703984819734346,0.9721062618595825,0.9496204933586337,0.9662713472485769,0.009657516647432762,6,0.4358309569349365,0.4771201960130431,0.44959403662675634,0.8120218018763099,0.5436417478627615,0.15566077611429938,11,0.8978201634877384,0.8889645776566758,0.8828337874659401,0.9196185286103542,0.8973092643051772,0.013938593157111961,3
23,303.24747121334076,81.82421310188268,1.0019684433937073,0.15477566198923096,16,0.3,3200,5,0.01,"{'fit__batch_size': 16, 'model__dropout_rate': 0.3, 'model__layer_size': 3200, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.01}",0.9682163187855788,0.9709677419354839,0.9588235294117647,0.9642314990512334,0.9655597722960152,0.004567402239814374,12,0.5122925107819374,0.4679448095504482,0.6636863874042916,0.5765202160151081,0.5551109809379463,0.07361782572308319,5,0.8630790190735694,0.8801089918256131,0.8664850136239782,0.8569482288828338,0.8666553133514987,0.008485986037670968,15
5,180.1965732574463,13.954377032398826,0.800704300403595,0.005130438051117216,16,0.3,1600,3,0.01,"{'fit__batch_size': 16, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 3, 'optimizer__learning_rate': 0.01}",0.9658444022770398,0.9577798861480076,0.9707779886148008,0.9675521821631878,0.9654886148007591,0.004790273159590737,15,0.5505232877080097,0.6805079292532398,0.4710032717031815,0.5229971283226719,0.5562579042467758,0.07721008050470216,2,0.8807901907356949,0.8944141689373297,0.8630790190735694,0.8876021798365122,0.8814713896457765,0.011660247117591092,8
30,444.0853123664856,23.924915134900697,0.9568442106246948,0.020855227760102846,32,0.3,3200,5,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 3200, 'model__n_hidden_layers': 5, 'optimizer__learning_rate': 0.001}",0.967931688804554,0.9635673624288426,0.9655597722960152,0.9639468690702088,0.9652514231499052,0.0017187804567829203,13,0.5168802040155072,0.5872248335568414,0.555110980939432,0.5811079092489774,0.5600809819401894,0.02770346763440056,4,0.8985013623978202,0.8950953678474114,0.8869209809264306,0.896457765667575,0.8942438692098093,0.004398219199640639,1
41,103.35485035181046,8.169237611997367,0.7885535955429077,0.0054454698467007265,32,0.2,1600,6,0.01,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 1600, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.01}",0.969449715370019,0.9566413662239089,0.9709677419354839,0.9632827324478178,0.9650853889943075,0.005661283246974769,7,0.49241250678265297,0.698858702174934,0.4679448095493494,0.5918125267869153,0.5627571363234629,0.09124910431856449,10,0.8848773841961853,0.864441416893733,0.8651226158038147,0.8828337874659401,0.8743188010899183,0.00956714707437887,12
47,177.3778503537178,12.205544638736624,0.9362441897392273,0.01205635667975689,32,0.3,3200,6,0.01,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 3200, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.01}",0.9642314990512334,0.961764705882353,0.9680265654648956,0.966034155597723,0.9650142314990513,0.002306864100205968,8,0.5765202160176051,0.6162802240187706,0.5153509729347707,0.5474648255551764,0.5639040596315807,0.03718225599219781,9,0.8910081743869209,0.8828337874659401,0.8474114441416893,0.896457765667575,0.8794277929155313,0.019110027437473497,10
43,156.91541969776154,15.312438078038896,0.9334604144096375,0.013003901907921535,32,0.2,3200,6,0.01,"{'fit__batch_size': 32, 'model__dropout_rate': 0.2, 'model__layer_size': 3200, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.01}",0.9650853889943074,0.9621442125237192,0.9672675521821632,0.9642314990512334,0.9646821631878558,0.0018365129349192952,9,0.5627571363241871,0.6101632997088092,0.5275848215504987,0.5765202160177548,0.5692563684003125,0.029601090966901274,8,0.8841961852861036,0.8555858310626703,0.8446866485013624,0.8930517711171662,0.8693801089918256,0.01987405846269827,16
44,291.56482058763504,13.918141152178269,0.7942157983779907,0.010468680746705735,32,0.3,1600,6,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 1600, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.001}",0.9695445920303606,0.9616698292220114,0.9706831119544592,0.9565464895635674,0.9646110056925996,0.0058072731990586515,10,0.4908832757068606,0.6178094550961112,0.4725325027820203,0.7003879332545717,0.5704032917098909,0.0936021843161074,7,0.9012261580381471,0.8876021798365122,0.888283378746594,0.9005449591280654,0.8944141689373297,0.006480346590749469,4
39,336.9709539413452,68.28084624348955,0.9329249262809753,0.011372921395522472,16,0.3,3200,6,0.01,"{'fit__batch_size': 16, 'model__dropout_rate': 0.3, 'model__layer_size': 3200, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.01}",0.9581593927893738,0.9719165085388994,0.9642314990512334,0.9633776091081594,0.9644212523719166,0.004912101078583217,11,0.6743910049440774,0.45265249878013897,0.576520216014309,0.5902832957111229,0.573461753862412,0.07917371454330992,6,0.8780653950953679,0.8746594005449592,0.8460490463215259,0.8991825613079019,0.8744891008174387,0.018917072801335425,11
46,444.5628969669342,15.657304538874742,0.952627420425415,0.018932426688544345,32,0.3,3200,6,0.001,"{'fit__batch_size': 32, 'model__dropout_rate': 0.3, 'model__layer_size': 3200, 'model__n_hidden_layers': 6, 'optimizer__learning_rate': 0.001}",0.9638519924098672,0.9614800759013282,0.9683111954459203,0.963662239089184,0.964326375711575,0.0024822534064423375,12,0.5826371403266675,0.6208679172512417,0.5107632797075432,0.5856956024806994,0.574990984941538,0.040009197588202525,5,0.9059945504087193,0.9032697547683923,0.8985013623978202,0.9066757493188011,0.9036103542234333,0.003213208832444346,1
